Country Name,Region Code,Life Expectancy for Females,Life Expectancy for Males
Antigua and Barbuda,4,78.21,73.29
Armenia,2,77.03,70.64
Bahamas,4,78.09,72.02
Belarus,3,77.68,66.54
Belgium,3,83.00,77.97
Benin,1,61.36,58.46
Bolivia,6,70.21,65.34
Bosnia and Herzegovina,3,78.82,73.71
Botswana,1,66.07,59.77
Brazil,6,78.35,70.99
Burkina Faso,1,59.26,58.02
Burundi,1,58.04,54.18
Cambodia,2,69.55,65.50
Canada,4,83.78,79.69
Central African Republic (CAR),1,51.02,47.80
Chad,1,52.83,50.52
Colombia,6,77.39,70.19
Comoros,1,64.50,61.20
Costa Rica,4,81.69,76.70
Cote d'Ivoire,1,53.18,50.35
Croatia,3,80.38,73.64
Cuba,4,81.27,77.10
Cyprus,3,82.17,77.69
Denmark,3,82.16,78.10
Djibouti,1,63.24,60.04
Dominican Republic,4,76.45,70.16
Ecuador,6,78.37,72.82
El Salvador,4,77.08,67.89
Equatorial Guinea,1,58.41,55.51
Eswatini (formerly Swaziland),1,58.23,51.57
Fiji,5,72.89,66.93
France,3,84.98,78.76
Gambia,1,61.64,59.06
Georgia,2,76.97,68.47
Germany,3,82.91,77.94
Ghana,1,62.60,60.72
Greece,3,83.32,77.96
Guatemala,4,75.60,69.22
Guinea,1,58.39,57.45
Guyana,6,68.59,64.03
Haiti,4,64.42,60.18
Iceland,3,83.78,80.58
Iran,2,76.22,73.98
Jamaica,4,77.89,73.07
Kiribati,5,68.93,62.43
Kuwait,2,75.48,73.46
Lao (People’s Republic of),2,66.84,63.92
Latvia,3,78.69,68.79
Libya,1,74.41,68.79
Luxembourg,3,83.45,78.76
Maldives,2,77.44,75.38
Malta,3,81.98,78.55
Mauritania,1,64.08,61.19
Mauritius,1,77.74,70.67
Mexico,4,78.93,74.04
Micronesia,5,75.29,70.46
Namibia,1,64.28,59.07
Nepal,2,70.45,67.41
Netherlands,3,83.14,79.36
New Zealand,5,83.11,79.50
Nicaragua,4,77.48,71.38
Nigeria,1,52.61,51.16
North Korea (Democratic People’s Republic),2,74.10,67.17
North Macedonia (TFYR),3,77.18,73.16
Norway,3,83.63,79.53
Oman,2,78.70,74.46
Pakistan,2,66.82,64.97
Palestine (State of),2,74.76,71.06
Panama,4,80.49,74.34
Paraguay,6,74.92,70.70
Peru,6,76.84,71.54
Poland,3,80.97,72.93
Qatar,2,79.36,76.85
Republic of the Congo (Demo.),1,59.53,56.67
Romania,3,78.37,71.35
Russia,3,75.92,64.66
Rwanda,1,67.14,63.14
Saint Lucia,4,77.57,72.17
Samoa,5,77.39,71.11
Saudi Arabia,2,75.64,72.72
Seychelles,1,77.91,68.69
Sierra Leone,1,50.74,49.65
Singapore,2,84.52,80.06
Slovakia,3,79.82,72.65
Solomon Islands,5,71.11,68.26
Somalia,1,56.51,53.28
South Africa,1,63.00,56.10
South Sudan,1,56.03,54.10
Sri Lanka,2,78.03,71.24
Suriname,6,74.18,67.81
Syrian Arab Republic (Syria),2,76.29,64.38
Tajikistan,2,73.48,67.70
Thailand,2,78.42,70.83
Timor-Leste,2,69.51,66.06
Togo,1,59.80,58.33
Tonga,5,75.56,69.57
Trinidad and Tobago,4,73.84,66.87
Tunisia,1,77.13,73.04
Turkey,3,78.12,71.53
Turkmenistan,2,70.76,63.89
Uganda,1,60.70,56.48
United States of America,4,81.25,76.47
Uruguay,6,80.44,73.25
Vanuatu,5,73.60,69.37
Venezuela,6,78.24,69.93
Yemen,2,65.57,62.81
Zimbabwe,1,59.02,56.10